#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
136,213,6.30E-04,1.13E-04,0.0126143,0,1.73E-04,0.0033801,2.48E-05,0,0,2.60E-06,0,0,6.80E-06,0,0,0,0,0.0144558
136,222,5.85E-04,6.97E-05,0.0124368,0,1.73E-04,0.0033801,2.28E-05,0,0,2.00E-06,0,0,6.10E-06,0,0,0,0,0.0141284
136,221,5.91E-04,7.08E-05,0.0121844,0,1.73E-04,0.0033801,2.23E-05,0,0,1.70E-06,0,0,6.40E-06,0,0,0,0,0.0139029
136,213,6.62E-04,7.38E-05,0.013549,0,1.73E-04,0.0033801,2.28E-05,0,0,1.80E-06,0,0,6.20E-06,0,0,0,0,0.0153593
136,230,6.81E-04,8.13E-05,0.0085745,0,1.73E-04,0.0033801,1.53E-05,0,0,1.60E-06,0,0,5.00E-06,0,0,0,0,0.0099886
136,225,6.07E-04,6.91E-05,0.0122708,0,1.73E-04,0.0033801,2.15E-05,0,0,1.00E-06,0,0,6.20E-06,0,0,0,0,0.0139482
136,232,6.00E-04,7.38E-05,0.0109979,0,1.73E-04,0.0033801,1.48E-05,0,0,1.10E-06,0,0,5.50E-06,0,0,0,0,0.0126253
136,243,4.65E-04,7.20E-05,0.0076913,0,1.73E-04,0.0033801,1.18E-05,0,0,1.20E-06,0,0,5.30E-06,0,0,0,0,0.0089255
136,221,6.28E-04,7.88E-05,0.0112533,0,1.73E-04,0.0033801,2.26E-05,0,0,1.40E-06,0,0,5.80E-06,0,0,0,0,0.0127707
136,224,5.11E-04,9.21E-05,0.0112827,0,1.73E-04,0.0033801,2.19E-05,0,0,1.90E-06,0,0,5.40E-06,0,0,0,0,0.0128361
136,211,5.88E-04,6.40E-05,0.0087935,0,1.73E-04,0.0033801,1.47E-05,0,0,1.00E-06,0,0,6.30E-06,0,0,0,0,0.0103793
136,218,4.81E-04,5.44E-05,0.007529,0,1.73E-04,0.0033801,1.32E-05,0,0,1.40E-06,0,0,5.30E-06,0,0,0,0,0.0088042
136,213,2.98E-04,3.95E-05,0.0047849,0,1.73E-04,0.0033801,9.00E-06,0,0,7.00E-07,0,0,3.20E-06,0,0,0,0,0.0055304
136,208,4.87E-04,1.79E-04,0.0073802,0,1.73E-04,0.0033801,1.25E-05,0,0,9.00E-07,0,0,5.00E-06,0,0,0,0,0.008649
136,202,3.02E-04,3.97E-05,0.0050917,0,1.73E-04,0.0033801,1.05E-05,0,0,1.00E-06,0,0,3.30E-06,0,0,0,0,0.0059532
136,215,4.05E-04,1.44E-04,0.0072466,0,1.73E-04,0.0033801,1.28E-05,0,0,1.20E-06,0,0,4.40E-06,0,0,0,0,0.0084683
136,216,4.88E-04,7.71E-05,0.0119445,0,1.73E-04,0.0033801,2.36E-05,0,0,1.60E-06,0,0,6.00E-06,0,0,0,0,0.0134398
136,219,5.87E-04,7.10E-05,0.0123156,0,1.73E-04,0.0033801,2.30E-05,0,0,2.10E-06,0,0,6.70E-06,0,0,0,0,0.0139879
136,224,5.83E-04,8.35E-05,0.007208,0,1.73E-04,0.0033801,8.70E-06,0,0,6.00E-07,0,0,6.00E-06,0,0,0,0,0.0087062
136,223,6.01E-04,1.03E-04,0.0122847,0,1.73E-04,0.0033801,2.39E-05,0,0,2.40E-06,0,0,5.90E-06,0,0,0,0,0.01404
136,225,6.18E-04,5.99E-05,0.0121379,0,1.73E-04,0.0033801,2.33E-05,0,0,2.20E-06,0,0,5.60E-06,0,0,0,0,0.0135828
136,213,6.41E-04,7.18E-05,0.0105767,0,1.73E-04,0.0033801,1.71E-05,0,0,8.00E-07,0,0,6.00E-06,0,0,0,0,0.0121112
136,209,4.61E-04,4.60E-05,0.0058975,0,1.73E-04,0.0033801,1.19E-05,0,0,1.20E-06,0,0,3.70E-06,0,0,0,0,0.0068834
136,213,4.74E-04,8.03E-05,0.0108421,0,1.73E-04,0.0033801,2.36E-05,0,0,2.40E-06,0,0,6.10E-06,0,0,0,0,0.0123366
136,212,6.87E-04,8.63E-05,0.0118163,0,1.73E-04,0.0033801,1.69E-05,0,0,9.00E-07,0,0,6.20E-06,0,0,0,0,0.0135451
136,222,4.45E-04,6.65E-05,0.0068664,0,1.73E-04,0.0033801,1.14E-05,0,0,7.00E-07,0,0,4.10E-06,0,0,0,0,0.0079758
136,211,6.19E-04,7.61E-05,0.0066577,0,1.73E-04,0.0033801,8.40E-06,0,0,4.00E-07,0,0,6.00E-06,0,0,0,0,0.0081624
136,211,3.14E-04,4.58E-05,0.0057681,0,1.73E-04,0.0033801,1.18E-05,0,0,8.00E-07,0,0,3.30E-06,0,0,0,0,0.0066089
136,200,3.88E-04,5.46E-05,0.006656,0,1.73E-04,0.0033801,1.27E-05,0,0,9.00E-07,0,0,4.10E-06,0,0,0,0,0.0077491
136,191,5.86E-04,7.24E-05,0.0105424,0,1.73E-04,0.0033801,2.21E-05,0,0,1.80E-06,0,0,6.30E-06,0,0,0,0,0.0121912
136,198,4.96E-04,6.48E-05,0.010245,0,1.73E-04,0.0033801,1.79E-05,0,0,1.00E-06,0,0,5.90E-06,0,0,0,0,0.012195
136,181,5.20E-04,6.59E-05,0.0063232,0,1.73E-04,0.0033801,1.10E-05,0,0,8.00E-07,0,0,4.20E-06,0,0,0,0,0.0075464
136,188,4.26E-04,4.35E-05,0.0067104,0,1.73E-04,0.0033801,1.28E-05,0,0,1.30E-06,0,0,4.50E-06,0,0,0,0,0.0077429
136,187,3.54E-04,4.95E-05,0.0055905,0,1.73E-04,0.0033801,1.13E-05,0,0,1.20E-06,0,0,4.10E-06,0,0,0,0,0.0064726
136,184,4.32E-04,6.43E-05,0.0072173,0,1.73E-04,0.0033801,8.20E-06,0,0,6.00E-07,0,0,4.40E-06,0,0,0,0,0.0082083
136,174,2.61E-04,3.33E-05,0.0044253,0,1.73E-04,0.0033801,1.05E-05,0,0,1.00E-06,0,0,3.20E-06,0,0,0,0,0.0051707
136,173,4.51E-04,4.47E-05,0.0070276,0,1.73E-04,0.0033801,1.28E-05,0,0,1.30E-06,0,0,4.60E-06,0,0,0,0,0.0080654
136,185,4.92E-04,5.23E-05,0.0095974,0,1.73E-04,0.0033801,1.88E-05,0,0,8.00E-07,0,0,5.70E-06,0,0,0,0,0.0108612
136,176,6.12E-04,6.44E-05,0.0090364,0,1.73E-04,0.0033801,1.91E-05,0,0,1.10E-06,0,0,6.20E-06,0,0,0,0,0.0104762
136,176,4.79E-04,4.47E-05,0.0064958,0,1.73E-04,0.0033801,1.29E-05,0,0,1.10E-06,0,0,4.90E-06,0,0,0,0,0.0075919
136,172,2.93E-04,3.51E-05,0.0043351,0,1.73E-04,0.0033801,8.50E-06,0,0,5.00E-07,0,0,3.20E-06,0,0,0,0,0.0051148
136,165,2.78E-04,3.53E-05,0.0037845,0,1.73E-04,0.0033801,8.20E-06,0,0,4.00E-07,0,0,7.80E-06,0,0,0,0,0.0045177
136,171,4.52E-04,5.19E-05,0.0088836,0,1.73E-04,0.0033801,1.89E-05,0,0,1.40E-06,0,0,5.20E-06,0,0,0,0,0.0101754
136,165,5.99E-04,6.20E-05,0.0082475,0,1.73E-04,0.0033801,2.10E-05,0,0,2.70E-06,0,0,6.30E-06,0,0,0,0,0.0096336
136,162,4.94E-04,4.22E-05,0.0052336,0,1.73E-04,0.0033801,1.08E-05,0,0,7.00E-07,0,0,4.80E-06,0,0,0,0,0.0062836
136,155,5.56E-04,4.83E-05,0.0077974,0,1.73E-04,0.0033801,1.87E-05,0,0,1.50E-06,0,0,6.00E-06,0,0,0,0,0.0090864
136,155,5.55E-04,4.95E-05,0.0077815,0,1.73E-04,0.0033801,1.99E-05,0,0,2.10E-06,0,0,5.90E-06,0,0,0,0,0.0090867
136,163,5.45E-04,5.27E-05,0.0084794,0,1.73E-04,0.0033801,2.10E-05,0,0,3.10E-06,0,0,5.90E-06,0,0,0,0,0.0099243
136,158,6.25E-04,5.48E-05,0.0084827,0,1.73E-04,0.0033801,2.33E-05,0,0,2.30E-06,0,0,6.00E-06,0,0,0,0,0.010192
