#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
 8, 0, 4.6E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0E-7, 0.0, 0.0, 0.0, 0.0, 1.1999E-5
 8, 0, 5.2E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 2.6799E-5
 8, 0, 5.101E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 1.08E-5
 8, 0, 4.7E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 8.6E-6
 9, 0, 1.6999E-5, 7.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 2.099E-6, 0.0, 0.0, 0.0, 0.0, 5.96E-5
 9, 0, 8.899E-6, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0E-7, 0.0, 0.0, 0.0, 0.0, 4.12E-5
 9, 0, 7.4E-6, 2.99E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0E-7, 0.0, 0.0, 0.0, 0.0, 1.82E-5
 9, 0, 5.7000000000000005E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 1.83E-5
 9, 0, 5.7000000000000005E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 1.1999E-5
 9, 0, 6.1E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 1.2399E-5
 10, 0, 1.3701000000000001E-5, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9E-6, 0.0, 0.0, 0.0, 0.0, 4.1899E-5
 10, 0, 4.6500000000000005E-5, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1E-6, 0.0, 0.0, 0.0, 0.0, 8.73E-5
 10, 0, 3.3900000000000004E-5, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0E-7, 0.0, 0.0, 0.0, 0.0, 4.3199E-5
 10, 0, 8.6E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0E-7, 0.0, 0.0, 0.0, 0.0, 1.56E-5
 10, 0, 2.1199E-5, 6.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 2.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.999E-6, 0.0, 0.0, 0.0, 0.0, 5.13E-5
 10, 0, 1.52E-5, 2.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 2.5301E-5
 11, 0, 6.399E-6, 1.0E-7, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0E-7, 0.0, 0.0, 0.0, 0.0, 1.75E-5
 11, 0, 6.401E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 1.14E-5
 11, 0, 7.4E-6, 0.0, 0.0, 0.0, 1.8E-5, 1.10001E-4, 1.0E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0E-7, 0.0, 0.0, 0.0, 0.0, 2.11E-5
