#bodies, #contacts, detection, warmstart, LCPSolve, updateCollections, contactOrdering, singleItPGS, merging, mergingBuild, unmerging, unmergingBuild, computeTime
 328, 0, 0.00164538, 7.22E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 9.52E-7, 0.0, 1.7773E-5, 0.0, 0.001890437
 328, 0, 0.0012078540000000002, 8.22E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.412E-6, 0.0, 1.4557E-5, 0.0, 0.001498917
 328, 0, 0.001120581, 6.41E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.012E-6, 0.0, 1.3626E-5, 0.0, 0.001329851
 328, 0, 0.0016561500000000001, 8.22E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.152E-6, 0.0, 1.6682E-5, 0.0, 0.001915004
 328, 0, 0.0010946830000000002, 6.61E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.133E-6, 0.0, 2.0318E-5, 0.0, 0.001328058
 328, 0, 0.0011675490000000001, 6.62E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.123E-6, 0.0, 2.1681E-5, 0.0, 0.001404401
 328, 0, 0.001624402, 7.71E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.313E-6, 0.0, 2.5938E-5, 0.0, 0.001925083
 328, 0, 0.0017505760000000002, 8.02E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.292E-6, 0.0, 2.8463E-5, 0.0, 0.002051418
 328, 0, 0.001171476, 6.31E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.102E-6, 0.0, 1.8174E-5, 0.0, 0.001408348
 328, 0, 0.0013983490000000001, 6.92E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.132E-6, 0.0, 1.8394E-5, 0.0, 0.001672742
 328, 0, 0.001604815, 7.51E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.102E-6, 0.0, 1.7402E-5, 0.0, 0.00186496
 328, 0, 0.001556595, 7.21E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.282E-6, 0.0, 1.7242E-5, 0.0, 0.001841707
 328, 0, 0.0016606890000000001, 7.61E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.062E-6, 0.0, 1.624E-5, 0.0, 0.001928629
 328, 0, 0.001075247, 6.32E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.022E-6, 0.0, 2.5888E-5, 0.0, 0.001305346
 328, 0, 0.0010977180000000001, 6.21E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.002E-6, 0.0, 1.2173E-5, 0.0, 0.00131276
 328, 0, 0.001072592, 6.31E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 9.21E-7, 0.0, 1.1772E-5, 0.0, 0.001278766
 328, 0, 0.0016182400000000002, 1.763E-6, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 3.126E-6, 0.0, 1.9897E-5, 0.0, 0.002096482
 328, 0, 0.001672621, 8.01E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.293E-6, 0.0, 1.9025E-5, 0.0, 0.00197152
 328, 0, 0.0010756680000000001, 6.52E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.092E-6, 0.0, 1.2193E-5, 0.0, 0.001285589
 328, 0, 0.0017234560000000002, 8.01E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 9.61E-7, 0.0, 1.9716E-5, 0.0, 0.001994903
 328, 0, 0.001086808, 6.42E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.122E-6, 0.0, 1.1772E-5, 0.0, 0.001300086
 328, 0, 0.001113148, 7.92E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 9.41E-7, 0.0, 1.2563E-5, 0.0, 0.001325473
 328, 0, 0.001682951, 7.11E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.112E-6, 0.0, 1.9336E-5, 0.0, 0.001951812
 328, 0, 0.001115071, 6.41E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 9.82E-7, 0.0, 1.3977E-5, 0.0, 0.001328258
 328, 0, 0.001667482, 9.72E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.232E-6, 0.0, 1.7723E-5, 0.0, 0.001941203
 328, 0, 0.001156328, 6.92E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 8.92E-7, 0.0, 1.4167E-5, 0.0, 0.001379685
 328, 0, 0.001737592, 7.11E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.062E-6, 0.0, 1.8444E-5, 0.0, 0.002007837
 328, 0, 0.001662814, 9.42E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.042E-6, 0.0, 1.6511E-5, 0.0, 0.001924502
 328, 0, 0.001707787, 6.91E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.102E-6, 0.0, 1.624E-5, 0.0, 0.001967181
 328, 0, 0.001791183, 6.12E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.072E-6, 0.0, 1.7583E-5, 0.0, 0.002044396
 328, 0, 0.001674946, 8.01E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.112E-6, 0.0, 1.8455E-5, 0.0, 0.001934981
 328, 0, 0.001155877, 9.01E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.533E-6, 0.0, 1.3545E-5, 0.0, 0.001504358
 328, 0, 0.0017472000000000002, 8.01E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.032E-6, 0.0, 1.8695E-5, 0.0, 0.002054383
 328, 0, 0.001614172, 5.91E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 1.052E-6, 0.0, 1.6981E-5, 0.0, 0.001846125
 328, 0, 0.00110902, 5.51E-7, 0.0, 0.0, 9.14E-5, 8.440250000000001E-4, 8.71E-7, 0.0, 1.3836E-5, 0.0, 0.001299425
 328, 52, 0.00168286, 7.985E-6, 9.775300000000001E-5, 0.0, 9.14E-5, 8.440250000000001E-4, 4.769E-6, 0.0, 1.9286E-5, 0.0, 0.002179106
 328, 52, 0.001706915, 1.62E-5, 1.2419200000000002E-4, 0.0, 9.14E-5, 8.440250000000001E-4, 4.468E-6, 0.0, 1.8565E-5, 0.0, 0.002198262
